weed_id	license	source (Wikimedia Commons)
dallisgrass	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Paspalum_dilatatum_plant1_(7371041572).jpg
johnsongrass	CC BY 3.0	https://commons.wikimedia.org/wiki/File:Starr_030612-8001_Sorghum_halepense.jpg
vaseygrass	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Paspalum_urvillei_habit1_(7391812884).jpg
crabgrass	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Harig_vingergras_plant_(Digitaria_sanguinalis).jpg
sandbur	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Cenchrus_longispinus_kz01.jpg
bahiagrass	Public domain	https://commons.wikimedia.org/wiki/File:Paspalum_notatum.jpg
goosegrass	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Eleusine_indica,_closeup.jpg
barnyardgrass	Public domain	https://commons.wikimedia.org/wiki/File:Echinochloa_crus-galli_Habitus_2011-6-25_SierraMadrona.jpg
ryegrass	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Lolium_multiflorum_plant1_(6919359435).jpg
texaspanicum	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Urochloa_Texana.jpg
smutgrass	CC BY 3.0	https://commons.wikimedia.org/wiki/File:Starr_080604-6157_Sporobolus_indicus.jpg
nutsedge	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Cyperus_esculentus,_habitus,_Dewetsnek,_a.jpg
pigweed	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Amaranthus_palmeri.jpg
ragweed	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Ambrosia_artemisiifolia_plant7_(11741895306).jpg
horsenettle	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Solanum_carolinense_-_whole_plant_(19037613956).jpg
buttercup	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Ranunculus_bulbosus_Knolboterbloem_plant.jpg
thistle	CC0	https://commons.wikimedia.org/wiki/File:20110702Cirsium_vulgare_Weizenfeld_Reilingen.jpg
cocklebur	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Xanthium_strumarium_2026_G1.jpg
dock	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Rumex_crispus_vallee-de-grace-amiens_80_12062007_3.jpg
plantain	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Grote_weegbree_bloeiwijze_Plantago_major_subsp._major.jpg
sericea	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Lespedeza_Sericea_1.jpg
smilax	Public domain	https://commons.wikimedia.org/wiki/File:Smilax_rotundifolia_8.JPG
dewberry	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Rubus_trivialis.jpg
privet	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Ligustrum_sinense_plant_NC1.jpg
mesquite	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Honey_Mesquite_-_Flickr_-_treegrow.jpg
pricklypear	CC BY-SA 2.5	https://commons.wikimedia.org/wiki/File:Opuntia_engelmannii_-_Pricklypearcrop.jpg
pest-fallarmyworm	Public domain	https://commons.wikimedia.org/wiki/File:Spodoptera_frugiperda.jpg
pest-truearmyworm	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Mythimna.unipuncta.01.jpg
pest-cutworm	GFDL 1.2	https://commons.wikimedia.org/wiki/File:Agrotis_segetum01.jpg
pest-stemmaggot	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Atherigona_reversura_P1280608a.jpg
pest-grasshopper	CC BY 3.0	https://commons.wikimedia.org/wiki/File:Grasshopper_at_MGSP.jpg
pest-aphid	Public domain	https://commons.wikimedia.org/wiki/File:Melanaphis_sacchari_from_CSIRO.jpg
pest-spittlebug	Public domain	https://commons.wikimedia.org/wiki/File:Prosapia_bicincta_Kaldari.jpg
pest-blisterbeetle	CC BY 3.0	https://commons.wikimedia.org/wiki/File:Epicauta_vittata_on_glycine_max_1.jpg
pest-fireant	Public domain	https://commons.wikimedia.org/wiki/File:Fire_ants_01.jpg
